V1 V2
GO:0016358 1.84010707161897e-12
GO:0030900 7.48963566853373e-10
GO:0050773 3.59919632278988e-09
GO:0010975 1.40326465402408e-08
GO:0022604 1.01207443192789e-07
GO:0001764 1.01207443192789e-07
GO:0043087 1.09004604104422e-07
GO:0060560 1.09004604104422e-07
GO:0048813 1.68071426496157e-07
GO:0032147 5.8333603401437e-07
GO:0021537 6.60579303320207e-07
GO:0021953 7.29347382674328e-07
GO:0010769 7.29347382674328e-07
GO:0031346 7.84968263773975e-07
GO:0050769 1.26539812200358e-06
GO:0007409 1.64297275932117e-06
GO:0001655 1.78185224438092e-06
GO:0043547 1.78185224438092e-06
GO:0010976 1.88761873968103e-06
GO:0048732 1.88761873968103e-06
GO:0045666 1.9470656087004e-06
GO:0048880 1.9470656087004e-06
GO:0030324 2.398354163766e-06
GO:0030323 2.58775335392628e-06
GO:0150063 2.83889329867549e-06
GO:0051056 5.0946968871996e-06
GO:0001654 5.15576749651298e-06
GO:0060996 5.96257150007378e-06
GO:0072001 6.43749898803388e-06
GO:0071902 8.73682385281458e-06
GO:0060411 8.75469693296092e-06
GO:0003205 8.75469693296092e-06
GO:0048588 8.86767163637841e-06
GO:0003279 9.08617614943987e-06
GO:0007265 9.08617614943987e-06
GO:1990138 9.08617614943987e-06
GO:0060541 1.07380813287977e-05
GO:1900006 1.17646330946699e-05
GO:0016049 1.28921121866254e-05
GO:0090596 1.33982991620043e-05
GO:0043406 1.93213612522829e-05
GO:0061458 1.97914631074331e-05
GO:0001822 2.0636769540069e-05
GO:0048608 2.21457104514807e-05
GO:0007411 2.79727185955246e-05
GO:0097485 3.28214636091579e-05
GO:0060998 3.49607953420919e-05
GO:0001503 3.56084949639013e-05
GO:0043010 3.95565527150595e-05
GO:0021885 4.17613313997778e-05
GO:0050808 4.35554474574892e-05
GO:0003281 4.65128510448703e-05
GO:0097305 4.65128510448703e-05
GO:0050807 4.80735192479788e-05
GO:0010721 4.80735192479788e-05
GO:0021987 5.62304755227015e-05
GO:0031214 6.1135013850852e-05
GO:0048592 6.99693696676809e-05
