V1 V2
GO:0035249 0.00189885389811753
GO:0010837 0.00191187848804514
GO:2000310 0.00191187848804514
GO:0061180 0.00195926466549741
GO:0007173 0.0019882225208449
GO:0010771 0.00202424776410913
GO:0090092 0.00205369166377559
GO:0060348 0.00214063721541398
GO:0002065 0.00214129358315498
GO:0016331 0.00217536484275381
GO:0031589 0.0021885978749089
GO:0006465 0.00225502215101322
GO:0030010 0.00228522046186422
GO:0060443 0.00234879347946048
GO:0001892 0.00235620778307391
GO:0007163 0.00239937733235029
GO:0097061 0.00240451679922698
GO:1901214 0.0024074872727907
GO:0043583 0.00272075734675945
GO:0021510 0.00276730078572415
GO:0050678 0.00282393994543256
GO:0061097 0.00293137760837577
GO:0042445 0.00299397525347157
GO:0021915 0.00302183286648429
GO:0018212 0.00302183286648429
GO:0007565 0.00314939408890939
GO:0002066 0.00326821852571071
GO:0007605 0.00329071774838539
GO:0018108 0.00341217421793988
GO:0060999 0.00342768684420891
GO:0050954 0.00351183722485454
GO:0032486 0.00355724990812318
GO:0048569 0.00355724990812318
GO:0046660 0.00358612311377487
GO:0060070 0.00406868985202803
GO:0043279 0.00419027299022202
GO:0019229 0.00425968605223978
GO:0060997 0.00425968605223978
GO:0035296 0.00436540310908225
GO:0050880 0.00436540310908225
GO:0097746 0.00436540310908225
GO:0001841 0.00452928098764296
GO:0010977 0.00452928098764296
GO:0007043 0.00455379137348728
GO:0042063 0.00461566731692986
GO:0030500 0.00475685221978752
GO:0055074 0.00475685221978752
GO:0018105 0.00488075954396217
GO:0035150 0.00503637576797374
GO:0035335 0.00512558881355298
GO:0006367 0.00522762768986549
GO:0030510 0.00522762768986549
GO:0045471 0.00530846170115038
GO:0042110 0.00541647269693803
GO:0021872 0.00541647269693803
GO:0040036 0.00557526580374143
GO:0060349 0.00573037201227965
GO:0032528 0.00574036996022218
GO:0030509 0.00590923957759589
GO:0009791 0.00590923957759589
GO:0070838 0.00600703766623595
GO:0007162 0.00630015367375719
GO:0051222 0.00636904825477097
GO:0048705 0.00638612300896486
GO:0051402 0.00638612300896486
GO:0070189 0.00638612300896486
GO:0046777 0.00645068466172555
GO:0090036 0.00645068466172555
GO:0072006 0.00645068466172555
GO:0021879 0.00645068466172555
GO:0060563 0.00645068466172555
GO:0043616 0.00647402609213783
GO:0072511 0.00652453837370858
GO:0071772 0.00652453837370858
GO:0071773 0.00652453837370858
GO:0007215 0.00662245459492132
GO:0060840 0.00662245459492132
GO:0051403 0.0067766213135452
GO:0060359 0.00718744214565558
GO:1901184 0.0072865889613184
GO:0050770 0.00733373297823519
GO:0048593 0.0073693168228128
GO:0048846 0.0073693168228128
GO:1902284 0.0073693168228128
GO:0014020 0.0075169906458558
GO:0090630 0.0075169906458558
GO:0006816 0.00756131007938159
GO:1901215 0.00764939253886229
GO:0070231 0.00764939253886229
GO:0019932 0.00790449081341051
GO:0009410 0.00790449081341051
GO:0042476 0.00802022134331972
GO:0031345 0.00802022134331972
GO:0001963 0.00802022134331972
GO:0045778 0.00803766885744514
GO:0048645 0.00803766885744514
GO:0031331 0.00804282538621889
GO:0021952 0.00804282538621889
GO:1903859 0.00804282538621889
GO:0050806 0.00804282538621889
GO:0000187 0.00804282538621889
GO:0045216 0.00804282538621889
GO:0003197 0.00804282538621889
GO:0044331 0.00804282538621889
GO:0061001 0.00804282538621889
GO:0050804 0.00844252985789397
GO:0007178 0.00855245418490223
GO:0030326 0.00869230990756291
GO:0035113 0.00869230990756291
GO:0051047 0.00895095612729415
GO:0010469 0.00898457997068129
GO:0007254 0.00898457997068129
GO:0001738 0.00898457997068129
GO:0099177 0.00898457997068129
GO:0007389 0.00911277448726479
GO:0050679 0.00921968630997564
GO:0006939 0.00921968630997564
GO:0061387 0.00921968630997564
GO:0070227 0.00934100872249848
GO:0042059 0.00942155166909072
GO:1904951 0.00991765357877131
